,match_id,status,competition_id,open_date,home_team,away_team,home_rank,home_score,home_half_score,home_red,home_yellow,home_corner,away_rank,away_score,away_half_score,away_red,away_yellow,away_corner
3334,103335,8,82,1328972400,10024,10215,8,1,0,0,2,0,6,2,0,0,1,0
3335,103336,8,82,1328972400,10007,10248,18,1,0,0,3,0,20,2,1,0,2,0
3336,103337,8,82,1328972400,10018,10246,14,2,2,0,1,0,12,1,0,0,2,0
3337,103338,8,82,1328981400,10183,10136,3,5,4,0,2,0,5,0,0,0,1,0
3338,103339,8,82,1329053400,10226,10005,17,1,1,0,1,0,15,5,1,0,0,0
3339,103340,8,82,1329062400,10411,10181,14,0,0,0,3,0,2,1,0,0,0,0
3340,103341,8,82,1328360400,10215,10006,7,7,3,0,2,0,18,1,1,1,3,0
3341,103342,8,82,1328367600,10246,10024,9,0,0,1,0,0,8,1,0,0,1,0
3342,103343,8,82,1328367600,10005,11844,15,1,0,0,2,0,14,2,0,0,1,0
3343,103344,8,82,1328367600,10248,10250,20,1,0,0,2,0,10,1,0,0,0,0
3344,103345,8,82,1328367600,10184,10007,11,2,0,0,0,0,17,0,0,0,0,0
3345,103346,8,82,1328367600,10290,10226,16,1,1,1,0,0,19,2,0,0,3,0
3346,103347,8,82,1328376600,10181,10018,1,3,2,0,1,0,13,0,0,0,3,0
3347,103348,8,82,1328448600,10136,10411,6,2,1,0,1,0,13,1,1,0,2,0
3348,103349,8,82,1328457600,10180,10135,4,3,1,0,2,0,2,3,0,0,1,0
3349,103350,8,82,1328558400,10249,10183,7,0,0,0,2,0,3,0,0,0,2,0
3350,103351,8,82,1328039100,11844,10180,13,1,1,0,2,0,4,1,0,1,4,0
3351,103352,8,82,1328039100,10183,10248,3,3,2,0,0,0,20,1,0,0,1,0
3352,103353,8,82,1328039100,10226,10249,19,0,0,0,1,0,7,3,0,0,3,0
3353,103354,8,82,1328040000,10250,10181,14,1,0,0,1,0,1,0,0,0,2,0
3354,103355,8,82,1328040000,10135,10246,2,2,1,0,1,0,8,0,0,0,3,0
3355,103356,8,82,1328125500,10411,10290,11,2,1,0,0,0,16,2,2,0,1,0
3356,103357,8,82,1328126400,10007,10215,17,0,0,0,1,0,5,0,0,0,1,0
3357,103358,8,82,1328126400,10024,10184,10,3,2,0,1,0,9,0,0,0,1,0
3358,103359,8,82,1328126400,10006,10136,18,0,0,0,1,0,6,2,1,0,2,0
3359,103360,8,82,1328126400,10018,10005,12,1,0,0,1,0,15,1,0,0,0,0
3360,103361,8,82,1327149900,10184,10180,9,0,0,0,0,0,4,0,0,0,0,0
3361,103362,8,82,1327158000,10018,10136,14,5,0,0,0,0,6,2,1,0,4,0
3362,103363,8,82,1327158000,10250,10006,11,1,1,0,2,0,17,1,0,0,2,0
3363,103364,8,82,1327158000,10290,10248,18,3,2,0,2,0,20,1,0,0,2,0
3364,103365,8,82,1327158000,10226,10411,16,2,2,1,1,0,13,3,1,0,0,0
3365,103366,8,82,1327158000,10246,10005,8,1,0,0,0,0,15,2,1,0,0,0
3366,103367,8,82,1327158000,10024,11844,12,2,1,0,0,0,10,0,0,0,0,0
3367,103368,8,82,1327167000,10007,10249,19,3,2,0,0,0,7,1,1,0,2,0
3368,103369,8,82,1327239000,10181,10183,1,3,0,0,2,0,3,2,0,0,1,0
3369,103370,8,82,1327248000,10215,10135,5,1,0,0,5,0,2,2,1,0,2,0
3370,103371,8,82,1326553200,10411,10250,14,1,0,0,1,0,11,1,0,0,1,0
3371,103372,8,82,1326553200,10249,10246,6,0,0,0,0,0,8,0,0,0,3,0
3372,103373,8,82,1326553200,10183,10226,3,1,0,0,1,0,16,1,1,0,3,0
3373,103374,8,82,1326553200,10005,10184,15,1,0,0,0,0,9,2,1,0,1,0
3374,103375,8,82,1326553200,10135,10007,2,3,1,0,0,0,18,0,0,0,1,0
3375,103376,8,82,1326553200,10006,10018,20,3,1,1,1,0,13,1,0,0,1,0
