,match_id,match_count,model_count,change_count,league_count,won,drawn,lost
3244,103761,209825,28320,1039,5,0.400000,0.280000,0.320000
3245,103762,112615,19637,991,22,0.520000,0.260000,0.220000
3246,103763,13931,3610,820,8,0.780000,0.140000,0.080000
3247,103764,189786,28327,1019,12,0.450000,0.280000,0.270000
3248,103765,209825,28320,1039,5,0.400000,0.280000,0.320000
3249,103766,70153,6193,965,31,0.260000,0.260000,0.480000
3250,103767,213633,30120,1036,30,0.420000,0.280000,0.300000
3251,103768,158311,24439,1000,10,0.460000,0.280000,0.260000
3252,103769,17306,4223,837,29,0.730000,0.160000,0.110000
3253,103770,54126,11377,959,33,0.630000,0.220000,0.150000
3254,103771,186728,27359,1019,35,0.440000,0.280000,0.280000
3255,103772,43478,3316,948,32,0.230000,0.240000,0.530000
3256,103773,71782,6540,954,22,0.270000,0.260000,0.470000
3257,103774,109540,18533,976,28,0.510000,0.260000,0.230000
3258,103775,43462,3314,948,16,0.230000,0.240000,0.530000
3259,103776,66200,13337,973,17,0.600000,0.230000,0.170000
3260,103777,88785,16825,997,21,0.570000,0.240000,0.190000
3261,103778,5346,1501,649,3,0.840000,0.100000,0.060000
3262,103779,213633,30120,1036,30,0.420000,0.280000,0.300000
3263,103780,158311,24439,1000,10,0.460000,0.280000,0.260000
3264,103781,213633,30120,1036,30,0.420000,0.280000,0.300000
3265,103782,213719,28618,1040,38,0.400000,0.280000,0.320000
3266,103783,32423,2231,928,14,0.210000,0.230000,0.560000
3267,103784,158311,24439,1000,10,0.460000,0.280000,0.260000
3268,103785,88785,16825,997,21,0.570000,0.240000,0.190000
3269,103786,92143,16608,985,25,0.540000,0.250000,0.210000
3270,103787,122535,12553,987,36,0.310000,0.270000,0.420000
3271,103788,214126,26816,1043,16,0.380000,0.280000,0.340000
3272,103789,213633,30120,1036,30,0.420000,0.280000,0.300000
3273,103790,27304,6351,885,4,0.700000,0.190000,0.110000
3274,103791,186728,27359,1019,35,0.440000,0.280000,0.280000
3275,103792,197852,23693,1036,5,0.360000,0.280000,0.360000
3276,103793,1386,26,340,21,0.060000,0.100000,0.840000
3277,103794,4151,1148,558,17,0.830000,0.110000,0.060000
3278,103795,209319,29059,1028,6,0.420000,0.280000,0.300000
3279,103796,131904,21571,994,6,0.490000,0.270000,0.240000
3280,103797,3460,991,538,28,0.860000,0.090000,0.050000
3281,103798,213719,28618,1040,38,0.400000,0.280000,0.320000
3282,103799,43478,3316,948,32,0.230000,0.240000,0.530000
3283,103800,54126,11377,959,33,0.630000,0.220000,0.150000
3284,103801,92139,16608,985,21,0.540000,0.250000,0.210000
